country_name,country_code,year,cluster,cluster_name,internet_pct,gini,log_gdp,urban_pct,electricity_access
Peru,PER,2022,3,Unequal Digitalizers,74.67495213,40.3,9.652447335175944,84.3663554951194,96.2
Philippines,PHL,2022,3,Unequal Digitalizers,75.21114422,40.7,9.154521479238996,54.7902343568327,94.8
Poland,POL,2022,1,Advanced Digital Leaders,86.94113479,28.9,10.678330417997634,59.8315488048321,100.0
Portugal,PRT,2022,1,Advanced Digital Leaders,84.49690644,36.3,10.623054174662943,61.1259255772782,100.0
Romania,ROU,2022,1,Advanced Digital Leaders,85.50309124,32.3,10.577884768082816,52.1634832477272,100.0
Russian Federation,RUS,2022,1,Advanced Digital Leaders,90.41799163,33.9,10.55097020150474,74.8544893625017,100.0
Rwanda,RWA,2022,0,Infrastructure Gap Economies,28.01679993,43.7,7.969862508902493,27.7806702737761,50.6
Senegal,SEN,2022,0,Infrastructure Gap Economies,56.82830048,36.2,8.349657895418314,53.4435061024348,67.9
Serbia,SRB,2022,1,Advanced Digital Leaders,83.53825397,32.8,10.112611285853356,61.9013813540396,100.0
Slovak Republic,SVK,2022,1,Advanced Digital Leaders,89.06766196,24.1,10.562687689738723,53.1902831072528,100.0
Slovenia,SVN,2022,1,Advanced Digital Leaders,88.91248552,24.3,10.758967582720553,55.3377817873563,100.0
South Africa,ZAF,2022,3,Unequal Digitalizers,78.29319763,54.1,9.530065785726666,63.4766699210327,86.5
Spain,ESP,2022,1,Advanced Digital Leaders,94.4855432,33.6,10.752216124211673,79.9548794567814,100.0
Sri Lanka,LKA,2022,2,Developing Digital Economies,48.3,37.7,9.491682267762696,19.9877933196367,100.0
Sweden,SWE,2022,1,Advanced Digital Leaders,95.00970335,31.6,11.052292571601347,88.4038576504809,100.0
Switzerland,CHE,2022,1,Advanced Digital Leaders,96.45279694,33.8,11.32390907066432,84.9206266284521,100.0
Syrian Arab Republic,SYR,2022,2,Developing Digital Economies,33.77000046,26.4,8.401749507203103,72.6124992370605,89.0
Tajikistan,TJK,2022,2,Developing Digital Economies,48.91429901,39.5,8.34610973403503,26.1957126615618,100.0
Tanzania,TZA,2022,0,Infrastructure Gap Economies,26.86059952,40.5,8.173852086005686,34.8234736377147,45.8
Thailand,THA,2022,1,Advanced Digital Leaders,87.97724503,34.3,9.940917974644163,59.742374420166,99.9
Togo,TGO,2022,0,Infrastructure Gap Economies,35.60749817,37.9,7.91559937259282,42.7332327975627,57.2
Tonga,TON,2022,2,Developing Digital Economies,61.60739899,27.1,8.826236926167528,21.147219451842,100.0
Tunisia,TUN,2022,1,Advanced Digital Leaders,68.31552226,33.7,9.450319286297583,69.707138648303,100.0
Turkiye,TUR,2022,3,Unequal Digitalizers,83.43716576,44.5,10.419921752943475,89.0381164550781,100.0
Uganda,UGA,2022,0,Infrastructure Gap Economies,9.636899948,42.7,7.9101892462041565,29.9251969709665,47.1
Ukraine,UKR,2022,1,Advanced Digital Leaders,80.47429657,25.6,9.53149018131649,69.42345912103,100.0
United Kingdom,GBR,2022,1,Advanced Digital Leaders,95.46530151,32.4,10.880669247266908,83.0753982997505,100.0
United States,USA,2022,3,Unequal Digitalizers,92.72850037,41.7,11.193811306987852,80.0324978239707,100.0
Uruguay,URY,2022,3,Unequal Digitalizers,89.87304314,40.6,10.335422661121148,95.4977416992188,100.0
Uzbekistan,UZB,2022,2,Developing Digital Economies,83.90000012,31.2,9.17030574164655,50.9847412109375,100.0
Viet Nam,VNM,2022,2,Developing Digital Economies,78.58999918,36.1,9.471146800955015,37.5478515625,100.0
West Bank and Gaza,PSE,2022,1,Advanced Digital Leaders,88.64690554,33.7,8.65749133070658,86.5961423216016,100.0
Zambia,ZMB,2022,0,Infrastructure Gap Economies,15.0,51.5,8.184548282658895,44.5988511178469,47.8
